pwn_on	0x06 0x14 0x00 0x04 0x00 0x34 0x11 0x00 0x00 0x5D	10
pwn_off	0x06 0x14 0x00 0x04 0x00 0x34 0x11 0x01 0x00 0x5E	10
pwn_stat	0x07 0x14 0x00 0x05 0x00 0x34 0x00 0x00 0x11 0x00 0x5E	11
reset_setting	0x06 0x14 0x00 0x04 0x00 0x34 0x11 0x02 0x00 0x5F	10
msg_off	0x06 0x14 0x00 0x04 0x00 0x34 0x11 0x27 0x00 0x84	10
msg_on	0x06 0x14 0x00 0x04 0x00 0x34 0x11 0x27 0x01 0x85	10
msgstat	0x07 0x14 0x00 0x05 0x00 0x34 0x00 0x00 0x11 0x27 0x85	11
view_1	0x06 0x14 0x00 0x04 0x00 0x34 0x12 0x00 0x00 0x5E	10
View_2	0x06 0x14 0x00 0x04 0x00 0x34 0x12 0x00 0x01 0x5F	10
view_3	0x06 0x14 0x00 0x04 0x00 0x34 0x12 0x00 0x02 0x60	10
view_4	0x06 0x14 0x00 0x04 0x00 0x34 0x12 0x00 0x03 0x61	10
view_0	0x07 0x14 0x00 0x05 0x00 0x34 0x00 0x00 0x12 0x00 0x5F	11
nv_on	0x06 0x14 0x00 0x04 0x00 0x34 0x12 0x09 0x01 0x68	10
nv_off	0x06 0x14 0x00 0x04 0x00 0x34 0x12 0x09 0x00 0x67	10
nv_stat	0x07 0x14 0x00 0x05 0x00 0x34 0x00 0x00 0x12 0x09 0x68	11
sourec_comp	0x06 0x14 0x00 0x04 0x00 0x34 0x13 0x01 0x00 0x60	10
source_hdmi1	0x06 0x14 0x00 0x04 0x00 0x34 0x13 0x01 0x03 0x63	10
source_hdmi2	0x06 0x14 0x00 0x04 0x00 0x34 0x13 0x01 0x07 0x67	10
source_stat	0x07 0x14 0x00 0x05 0x00 0x34 0x00 0x00 0x13 0x01 0x61	11
autoscan_on	0x06 0x14 0x00 0x04 0x00 0x34 0x13 0x02 0x01 0x62	10
autoscan_off	0x06 0x14 0x00 0x04 0x00 0x34 0x13 0x02 0x00 0x61	10
autoscan_stat	0x07 0x14 0x00 0x05 0x00 0x34 0x00 0x00 0x13 0x02 0x62	11
mute_on	0x06 0x14 0x00 0x04 0x00 0x34 0x14 0x00 0x01 0x61	10
mute_off	0x06 0x14 0x00 0x04 0x00 0x34 0x14 0x00 0x00 0x60	10
mute_stat	0x07 0x14 0x00 0x05 0x00 0x34 0x00 0x00 0x14 0x00 0x61	11
volume_up	0x06 0x14 0x00 0x04 0x00 0x34 0x14 0x01 0x00 0x61	10
volume_down	0x06 0x14 0x00 0x04 0x00 0x34 0x14 0x02 0x00 0x62	10
volume_set	0x06 0x14 0x00 0x04 0x00 0x34 0x13 0x2A 0x11 0x9A	10
volume_stat	0x07 0x14 0x00 0x05 0x00 0x34 0x00 0x00 0x14 0x03 0x64	11
lang_eng	0x06 0x14 0x00 0x04 0x00 0x34 0x15 0x00 0x00 0x61	10
lang_cn	0x06 0x14 0x00 0x04 0x00 0x34 0x15 0x00 0x07 0x68	10
get_lang	0x07 0x14 0x00 0x05 0x00 0x34 0x00 0x00 0x15 0x00 0x62	11
cec_on	0x06 0x14 0x00 0x04 0x00 0x34 0x11 0x2B 0x00 0x88	10
cec_off	0x06 0x14 0x00 0x04 0x00 0x34 0x11 0x2B 0x01 0x89	10
cec_stat	0x07 0x14 0x00 0x05 0x00 0x34 0x00 0x00 0x11 0x2B 0x89	11
